date,temp_c
2017-06-02,20.054739
2017-06-03,21.041353
2017-06-04,21.890701
2017-06-05,21.437952
2017-06-06,18.971663
2017-06-07,17.079124
2017-06-08,17.255262
2017-06-09,19.613594
2017-06-10,22.486292
2017-06-11,24.770103
2017-06-12,25.978088
2017-06-13,26.263346
2017-06-14,24.77237
2017-06-15,23.442572
2017-06-16,23.559916
2017-06-17,24.24437
2017-06-18,24.986456
2017-06-19,23.050234
2017-06-20,21.889053
2017-06-21,22.77349
2017-06-22,23.966394
2017-06-23,24.021416
2017-06-24,22.511086
2017-06-25,20.611467
2017-06-26,19.2049
2017-06-27,18.512161
2017-06-28,19.691223
2017-06-29,23.310316
2017-06-30,24.579271
2017-07-01,24.219057
2017-07-02,24.146109
2017-07-03,24.395945
2017-07-04,23.936941
2017-07-05,23.757391
2017-07-06,23.622305
2017-07-07,24.46842
2017-07-08,23.259798
2017-07-09,22.529078
2017-07-10,23.85575
2017-07-11,25.098602
2017-07-12,26.232948
2017-07-13,26.484793
2017-07-14,24.88122
2017-07-15,23.341064
2017-07-16,23.52088
2017-07-17,24.062098
2017-07-18,24.931543
2017-07-19,26.353296
2017-07-20,26.930466
2017-07-21,27.331236
2017-07-22,26.812323
2017-07-23,25.785614
2017-07-24,24.149942
2017-07-25,22.524405
2017-07-26,22.852905
2017-07-27,24.161337
2017-07-28,23.64247
2017-07-29,21.374819
2017-07-30,21.325226
2017-07-31,22.859055
2017-08-01,23.736893
2017-08-02,23.661707
2017-08-03,23.625238
2017-08-04,22.406763
2017-08-05,20.217384
2017-08-06,19.95711
2017-08-07,20.583689
2017-08-08,21.027353
2017-08-09,21.164488
2017-08-10,22.021795
2017-08-11,22.592325
2017-08-12,22.197218
2017-08-13,21.547577
2017-08-14,21.966253
2017-08-15,23.717926
2017-08-16,24.396982
2017-08-17,24.758204
2017-08-18,24.731972
2017-08-19,24.025452
2017-08-20,23.866846
2017-08-21,25.139639
2017-08-22,25.053236
2017-08-23,22.077066
2017-08-24,19.74794
2017-08-25,19.05394
2017-08-26,19.179565
2017-08-27,19.997126
2017-08-28,20.252367
2017-08-29,19.674627
2017-08-30,20.242369
2017-08-31,20.968016
2017-09-01,17.473665
2017-09-02,15.388526
2017-09-03,18.730194
2017-09-04,21.34781
2017-09-05,20.819674
2017-09-06,16.380745
2017-09-07,15.058253
2017-09-08,16.208513
2017-09-09,16.515966
2017-09-10,15.822273
2017-09-11,16.042784
2017-09-12,17.774237
2017-09-13,19.094866
2017-09-14,19.578089
2017-09-15,20.71059
2017-09-16,21.847467
2017-09-17,22.183851
2017-09-18,21.703888
2017-09-19,21.842398
2017-09-20,22.972364
2017-09-21,23.993202
2017-09-22,23.968801
2017-09-23,23.720957
2017-09-24,23.832373
2017-09-25,23.860346
2017-09-26,23.925926
2017-09-27,23.022652
2017-09-28,19.678839
2017-09-29,16.461538
2017-09-30,15.18042
2017-10-01,13.892383
2017-10-02,16.740168
2017-10-03,18.583971
2017-10-04,19.430246
2017-10-05,19.75671
2017-10-06,20.218431
2017-10-07,21.711329
2017-10-08,20.854301
2017-10-09,21.558844
2017-10-10,21.060839
2017-10-11,18.51287
2017-10-12,16.102196
2017-10-13,16.405836
2017-10-14,18.779284
2017-10-15,19.151062
2017-10-16,12.969859
2017-10-17,10.536653
2017-10-18,12.565982
2017-10-19,14.659678
2017-10-20,15.662135
2017-10-21,16.505384
2017-10-22,17.326124
2017-10-23,16.303568
2017-10-24,13.391582
2017-10-25,9.526561
2017-10-26,8.895414
2017-10-27,10.275672
2017-10-28,8.425492
2017-10-29,7.3331027
2017-10-30,6.916918
2017-10-31,6.4953766
2017-11-01,6.480002
2017-11-02,14.527759
2017-11-03,14.500789
2017-11-04,11.205917
2017-11-05,15.20894
2017-11-06,12.913167
2017-11-07,7.7298493
2017-11-08,5.7950897
2017-11-09,5.755215
2017-11-10,2.222247
2017-11-11,-0.5367087
2017-11-12,3.8994792
2017-11-13,5.577173
2017-11-14,5.369044
2017-11-15,6.3066754
2017-11-16,6.526221
2017-11-17,4.7103786
2017-11-18,9.055625
2017-11-19,5.936914
2017-11-20,3.028844
2017-11-21,6.711361
2017-11-22,4.3894362
2017-11-23,1.5741478
2017-11-24,4.6220345
2017-11-25,9.210968
2017-11-26,5.905274
2017-11-27,6.402723
2017-11-28,9.662655
2017-11-29,9.838367
2017-11-30,7.9798636
2017-12-01,6.172815
2017-12-02,5.186321
2017-12-03,6.117022
2017-12-04,8.474309
2017-12-05,9.256091
2017-12-06,3.6098435
2017-12-07,1.0293944
2017-12-08,-1.806529
2017-12-09,-1.2556833
2017-12-10,-1.0238038
2017-12-11,1.768786
2017-12-12,1.5800866
2017-12-13,-3.1506398
2017-12-14,-0.6350997
2017-12-15,-2.6341937
2017-12-16,1.5899891
2017-12-17,3.2119007
2017-12-18,5.7755218
2017-12-19,7.6961646
2017-12-20,6.0808067
2017-12-21,2.756245
2017-12-22,6.7679114
2017-12-23,5.829145
2017-12-24,1.003603
2017-12-25,-3.0363414
2017-12-26,-6.4156423
2017-12-27,-9.488259
2017-12-28,-10.889672
2017-12-29,-7.580978
2017-12-30,-6.5234427
2017-12-31,-11.433937
2018-01-01,-13.863561
2018-01-02,-13.548168
2018-01-03,-9.571208
2018-01-04,-8.826001
2018-01-05,-11.819713
2018-01-06,-13.271816
2018-01-07,-9.925147
2018-01-08,-0.633682
2018-01-09,1.4593493
2018-01-10,3.9036038
2018-01-11,10.703442
2018-01-12,6.68692
2018-01-13,-3.948291
2018-01-14,-9.447728
2018-01-15,-6.498075
2018-01-16,-7.05156
2018-01-17,-9.0004225
2018-01-18,-7.070641
2018-01-19,-1.1526585
2018-01-20,4.0285244
2018-01-21,6.856958
2018-01-22,10.23085
2018-01-23,7.1119614
2018-01-24,1.3876119
2018-01-25,0.02756857
2018-01-26,3.372905
